id,nombre,latitud,longitud,tipo
P1,UIS Campus Central,7.138852006758697, -73.12027425434756,Universidad
P2,UIS Campus Florida,7.0616660461262954, -73.0885503348499,Universidad
P3,UIS Guatiguará Piedecuesta,6.994686396119995, -73.06667821875594,Universidad
P4,UIS Bucarica,7.119742214194392, -73.12309354517878,Universidad
P5,Centro de Exposiciones Cenfer ,7.082563259306312, -73.15409157603568,Centro de eventos
P6,UNAB,7.117007936115003, -73.10454110673093,Universidad
P7,UTS,7.1051693758673045, -73.1238175281811,Universidad
P8,UPB,7.038541882742454, -73.07218033557736,Universidad
P9,PTAR RIO FRIO,7.065618104019919, -73.12805723099473,Planta de tratamiento
P10,Hacienda Catay, 6.976060516671348, -73.04155682203246, Hacienda